Logdir logdir\m2fix_exp1_delta_full_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[8084] episode/score 1.0 / episode/length 19.0
[8099] episode/score 1.0 / episode/length 15.0
[8110] episode/score 1.0 / episode/length 11.0
[8129] episode/score 1.0 / episode/length 19.0
[8139] episode/score 1.0 / episode/length 10.0
[8160] episode/score 0.9 / episode/length 21.0
[8178] episode/score 1.0 / episode/length 18.0
[8199] episode/score 0.9 / episode/length 21.0
[8216] episode/score 1.0 / episode/length 17.0
[8227] episode/score 1.0 / episode/length 11.0
[8240] episode/score 1.0 / episode/length 13.0
[8251] episode/score 1.0 / episode/length 11.0
[8266] episode/score 1.0 / episode/length 15.0
[8284] episode/score 1.0 / episode/length 18.0
[8297] episode/score 1.0 / episode/length 13.0
[8308] episode/score 1.0 / episode/length 11.0
[8324] episode/score 1.0 / episode/length 16.0
[8341] episode/score 1.0 / episode/length 17.0
[8359] episode/score 1.0 / episode/length 18.0
[8376] episode/score 1.0 / episode/length 17.0
[8386] episode/score 1.0 / episode/length 10.0
[8414] episode/score 0.9 / episode/length 28.0
[8428] episode/score 1.0 / episode/length 14.0
[8440] episode/score 1.0 / episode/length 12.0
[8459] episode/score 1.0 / episode/length 19.0
[8475] episode/score 1.0 / episode/length 16.0
