Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[5216] episode/score 0.9 / episode/length 23.0
[5235] episode/score 1.0 / episode/length 19.0
[5257] episode/score 0.9 / episode/length 22.0
[5268] episode/score 1.0 / episode/length 11.0
[5289] episode/score 0.9 / episode/length 21.0
[5305] episode/score 1.0 / episode/length 16.0
[5320] episode/score 1.0 / episode/length 15.0
[5332] episode/score 1.0 / episode/length 12.0
[5352] episode/score 0.9 / episode/length 20.0
[5368] episode/score 1.0 / episode/length 16.0
[5385] episode/score 1.0 / episode/length 17.0
[5402] episode/score 1.0 / episode/length 17.0
[5415] episode/score 1.0 / episode/length 13.0
[5431] episode/score 1.0 / episode/length 16.0
[5444] episode/score 1.0 / episode/length 13.0
[5459] episode/score 1.0 / episode/length 15.0
[5472] episode/score 1.0 / episode/length 13.0
[5483] episode/score 1.0 / episode/length 11.0
[5501] episode/score 1.0 / episode/length 18.0
[5515] episode/score 1.0 / episode/length 14.0
[5530] episode/score 1.0 / episode/length 15.0
[5546] episode/score 1.0 / episode/length 16.0
[5561] episode/score 1.0 / episode/length 15.0
[5576] episode/score 1.0 / episode/length 15.0
[5593] episode/score 1.0 / episode/length 17.0
[5605] episode/score 1.0 / episode/length 12.0
[5621] episode/score 1.0 / episode/length 16.0
[5633] episode/score 1.0 / episode/length 12.0
[5651] episode/score 1.0 / episode/length 18.0
[5669] episode/score 1.0 / episode/length 18.0
[5684] episode/score 1.0 / episode/length 15.0
[5696] episode/score 1.0 / episode/length 12.0
[5712] episode/score 1.0 / episode/length 16.0
[5732] episode/score 0.9 / episode/length 20.0
[5747] episode/score 1.0 / episode/length 15.0
[5773] episode/score 0.9 / episode/length 26.0
[5783] episode/score 1.0 / episode/length 10.0
[5805] episode/score 0.9 / episode/length 22.0
[5819] episode/score 1.0 / episode/length 14.0
[5836] episode/score 1.0 / episode/length 17.0
[5854] episode/score 1.0 / episode/length 18.0
[5866] episode/score 1.0 / episode/length 12.0
[5879] episode/score 1.0 / episode/length 13.0
[5893] episode/score 1.0 / episode/length 14.0
[5907] episode/score 1.0 / episode/length 14.0
[5921] episode/score 1.0 / episode/length 14.0
[5936] episode/score 1.0 / episode/length 15.0
[5955] episode/score 1.0 / episode/length 19.0
[5972] episode/score 1.0 / episode/length 17.0
[5986] episode/score 1.0 / episode/length 14.0
[5997] episode/score 1.0 / episode/length 11.0
[6009] episode/score 1.0 / episode/length 12.0
[6019] episode/score 1.0 / episode/length 10.0
[6037] episode/score 1.0 / episode/length 18.0
[6053] episode/score 1.0 / episode/length 16.0
[6066] episode/score 1.0 / episode/length 13.0
[6084] episode/score 1.0 / episode/length 18.0
[6097] episode/score 1.0 / episode/length 13.0
[6108] episode/score 1.0 / episode/length 11.0
[6124] episode/score 1.0 / episode/length 16.0
[6138] episode/score 1.0 / episode/length 14.0
[6154] episode/score 1.0 / episode/length 16.0
[6170] episode/score 1.0 / episode/length 16.0
[6183] episode/score 1.0 / episode/length 13.0
[6199] episode/score 1.0 / episode/length 16.0
[6214] episode/score 1.0 / episode/length 15.0
[6228] episode/score 1.0 / episode/length 14.0
[6243] episode/score 1.0 / episode/length 15.0
[6256] episode/score 1.0 / episode/length 13.0
[6269] episode/score 1.0 / episode/length 13.0
[6285] episode/score 1.0 / episode/length 16.0
[6296] episode/score 1.0 / episode/length 11.0
[6306] episode/score 1.0 / episode/length 10.0
[6319] episode/score 1.0 / episode/length 13.0
[6337] episode/score 1.0 / episode/length 18.0
[6352] episode/score 1.0 / episode/length 15.0
[6371] episode/score 1.0 / episode/length 19.0
[6387] episode/score 1.0 / episode/length 16.0
[6401] episode/score 1.0 / episode/length 14.0
[6413] episode/score 1.0 / episode/length 12.0
[6425] episode/score 1.0 / episode/length 12.0
[6438] episode/score 1.0 / episode/length 13.0
[6452] episode/score 1.0 / episode/length 14.0
[6475] episode/score 0.9 / episode/length 23.0
[6488] episode/score 1.0 / episode/length 13.0
[6507] episode/score 1.0 / episode/length 19.0
[6529] episode/score 0.9 / episode/length 22.0
[6542] episode/score 1.0 / episode/length 13.0
[6559] episode/score 1.0 / episode/length 17.0
[6574] episode/score 1.0 / episode/length 15.0
[6585] episode/score 1.0 / episode/length 11.0
[6604] episode/score 1.0 / episode/length 19.0
[6620] episode/score 1.0 / episode/length 16.0
[6638] episode/score 1.0 / episode/length 18.0
[6651] episode/score 1.0 / episode/length 13.0
[6666] episode/score 1.0 / episode/length 15.0
[6677] episode/score 1.0 / episode/length 11.0
[6698] episode/score 0.9 / episode/length 21.0
[6715] episode/score 1.0 / episode/length 17.0
[6727] episode/score 1.0 / episode/length 12.0
[6744] episode/score 1.0 / episode/length 17.0
[6767] episode/score 0.9 / episode/length 23.0
[6781] episode/score 1.0 / episode/length 14.0
[6795] episode/score 1.0 / episode/length 14.0
[6818] episode/score 0.9 / episode/length 23.0
[6834] episode/score 1.0 / episode/length 16.0
[6846] episode/score 1.0 / episode/length 12.0
[6859] episode/score 1.0 / episode/length 13.0
[6869] episode/score 1.0 / episode/length 10.0
[6893] episode/score 0.9 / episode/length 24.0
[6911] episode/score 1.0 / episode/length 18.0
[6927] episode/score 1.0 / episode/length 16.0
[6940] episode/score 1.0 / episode/length 13.0
[6950] episode/score 1.0 / episode/length 10.0
[6966] episode/score 1.0 / episode/length 16.0
[6984] episode/score 1.0 / episode/length 18.0
[6998] episode/score 1.0 / episode/length 14.0
[7017] episode/score 1.0 / episode/length 19.0
[7033] episode/score 1.0 / episode/length 16.0
[7044] episode/score 1.0 / episode/length 11.0
[7058] episode/score 1.0 / episode/length 14.0
[7069] episode/score 1.0 / episode/length 11.0
[7078] episode/score 1.0 / episode/length 9.0
[7090] episode/score 1.0 / episode/length 12.0
[7101] episode/score 1.0 / episode/length 11.0
[7126] episode/score 0.9 / episode/length 25.0
[7147] episode/score 0.9 / episode/length 21.0
[7161] episode/score 1.0 / episode/length 14.0
[7176] episode/score 1.0 / episode/length 15.0
[7194] episode/score 1.0 / episode/length 18.0
[7207] episode/score 1.0 / episode/length 13.0
[7220] episode/score 1.0 / episode/length 13.0
[7233] episode/score 1.0 / episode/length 13.0
[7244] episode/score 1.0 / episode/length 11.0
[7257] episode/score 1.0 / episode/length 13.0
[7281] episode/score 0.9 / episode/length 24.0
[7299] episode/score 1.0 / episode/length 18.0
[7315] episode/score 1.0 / episode/length 16.0
[7328] episode/score 1.0 / episode/length 13.0
[7343] episode/score 1.0 / episode/length 15.0
[7364] episode/score 0.9 / episode/length 21.0
[7383] episode/score 1.0 / episode/length 19.0
[7403] episode/score 0.9 / episode/length 20.0
[7415] episode/score 1.0 / episode/length 12.0
[7434] episode/score 1.0 / episode/length 19.0
[7450] episode/score 1.0 / episode/length 16.0
[7465] episode/score 1.0 / episode/length 15.0
[7477] episode/score 1.0 / episode/length 12.0
[7490] episode/score 1.0 / episode/length 13.0
[7504] episode/score 1.0 / episode/length 14.0
